date,us_cape,change,month_over_month_pct,source_method,source_note
1890-11-01,14.75,-0.74,-4.77,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1890-12-01,14.44,-0.30,-2.05,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-01-01,15.43,0.99,6.83,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-02-01,15.48,0.05,0.31,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-03-01,15.05,-0.42,-2.75,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-04-01,15.41,0.36,2.37,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-05-01,15.57,0.16,1.02,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-06-01,15.66,0.09,0.59,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-07-01,15.62,-0.04,-0.26,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-08-01,16.16,0.55,3.50,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-09-01,17.71,1.55,9.57,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-10-01,17.72,0.01,0.03,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-11-01,17.67,-0.04,-0.25,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1891-12-01,18.21,0.53,3.02,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-01-01,19.02,0.81,4.45,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-02-01,19.04,0.02,0.11,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-03-01,19.74,0.70,3.69,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-04-01,19.94,0.21,1.04,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-05-01,19.91,-0.03,-0.16,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-06-01,19.77,-0.14,-0.71,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-07-01,19.21,-0.56,-2.82,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-08-01,19.20,-0.01,-0.04,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-09-01,18.69,-0.51,-2.66,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-10-01,19.04,0.35,1.85,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-11-01,18.46,-0.58,-3.03,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1892-12-01,18.01,-0.45,-2.44,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-01-01,17.66,-0.36,-1.98,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-02-01,17.13,-0.53,-3.01,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
1893-03-01,16.90,-0.23,-1.32,OFFICIALDATA_SHILLER_MONTHLY,"Monthly Shiller PE/CAPE table from OfficialData, based on Robert Shiller and S&P 500 data."
